Chromosome,CHR,feature,start,end,geneID,name,XM_value
NC_035787.1,chr8,exon,56484924,56484991,LOC111109667,GTPase IMAP family member 4-like,XM_022445880.1
NC_035787.1,chr8,exon,56484676,56484733,LOC111109667,GTPase IMAP family member 4-like,XM_022445880.1
NC_035787.1,chr8,exon,56480953,56480988,LOC111109667,GTPase IMAP family member 4-like,XM_022445880.1
NC_035787.1,chr8,exon,56474449,56476323,LOC111109667,GTPase IMAP family member 4-like,XM_022445880.1
NC_035787.1,chr8,exon,61345119,61345384,LOC111108253,GTPase IMAP family member 4-like,XM_022444017.1
NC_035787.1,chr8,exon,61344855,61345010,LOC111108253,GTPase IMAP family member 4-like,XM_022444017.1
NC_035787.1,chr8,exon,61344265,61344456,LOC111108253,GTPase IMAP family member 4-like,XM_022444017.1
NC_035787.1,chr8,exon,61342371,61343673,LOC111108253,GTPase IMAP family member 4-like,XM_022444017.1
NC_035787.1,chr8,exon,61355606,61355809,LOC111110321,GTPase IMAP family member 7-like,XM_022446769.1
NC_035787.1,chr8,exon,61355045,61355254,LOC111110321,GTPase IMAP family member 7-like,XM_022446769.1
NC_035787.1,chr8,exon,61352783,61354690,LOC111110321,GTPase IMAP family member 7-like,XM_022446769.1
NC_035787.1,chr8,exon,61355459,61355800,LOC111110321,GTPase IMAP family member 7-like,XM_022446767.1
NC_035787.1,chr8,exon,61355045,61355254,LOC111110321,GTPase IMAP family member 7-like,XM_022446767.1
NC_035787.1,chr8,exon,61352783,61354690,LOC111110321,GTPase IMAP family member 7-like,XM_022446767.1
NC_035787.1,chr8,exon,61362815,61362909,LOC111109557,GTPase IMAP family member 7-like,XM_022445727.1
NC_035787.1,chr8,exon,61361288,61361494,LOC111109557,GTPase IMAP family member 7-like,XM_022445727.1
NC_035787.1,chr8,exon,61360946,61361155,LOC111109557,GTPase IMAP family member 7-like,XM_022445727.1
NC_035787.1,chr8,exon,61359104,61360867,LOC111109557,GTPase IMAP family member 7-like,XM_022445727.1
NC_035787.1,chr8,exon,61362815,61362909,LOC111109557,GTPase IMAP family member 7-like,XM_022445728.1
NC_035787.1,chr8,exon,61361282,61361494,LOC111109557,GTPase IMAP family member 7-like,XM_022445728.1
NC_035787.1,chr8,exon,61360946,61361155,LOC111109557,GTPase IMAP family member 7-like,XM_022445728.1
NC_035787.1,chr8,exon,61359104,61360849,LOC111109557,GTPase IMAP family member 7-like,XM_022445728.1
NC_035787.1,chr8,exon,65412523,65412723,LOC111108220,GTPase IMAP family member 7-like,XM_022443955.1
NC_035787.1,chr8,exon,65410762,65412425,LOC111108220,GTPase IMAP family member 7-like,XM_022443955.1
NC_035787.1,chr8,exon,66708999,66710527,LOC111105930,GTPase IMAP family member 4-like,XM_022440429.1
NC_035787.1,chr8,exon,69345779,69347785,LOC111109343,GTPase IMAP family member 4-like,XM_022445423.1
NC_035787.1,chr8,exon,69422114,69423217,LOC111109344,GTPase IMAP family member 4-like,XM_022445424.1
NC_035787.1,chr8,exon,69439193,69440507,LOC111106079,GTPase IMAP family member 4-like,XM_022440606.1
NC_035787.1,chr8,exon,69477717,69477734,LOC111106081,GTPase IMAP family member 4-like,XM_022440609.1
NC_035787.1,chr8,exon,69473477,69473524,LOC111106081,GTPase IMAP family member 4-like,XM_022440609.1
NC_035787.1,chr8,exon,69469805,69470793,LOC111106081,GTPase IMAP family member 4-like,XM_022440609.1
NC_035787.1,chr8,exon,71018822,71018843,LOC111109357,GTPase IMAP family member 4-like,XM_022445436.1
NC_035787.1,chr8,exon,71017388,71017837,LOC111109357,GTPase IMAP family member 4-like,XM_022445436.1
NC_035787.1,chr8,exon,71017213,71017241,LOC111109357,GTPase IMAP family member 4-like,XM_022445436.1
NC_035787.1,chr8,exon,71191272,71192046,LOC111109358,GTPase IMAP family member 4-like,XM_022445437.1
NC_035787.1,chr8,exon,71163275,71163489,LOC111109358,GTPase IMAP family member 4-like,XM_022445437.1
NC_035787.1,chr8,exon,71163030,71163170,LOC111109358,GTPase IMAP family member 4-like,XM_022445437.1
NC_035787.1,chr8,exon,71237867,71237882,LOC111109853,GTPase IMAP family member 4-like,XM_022446104.1
NC_035787.1,chr8,exon,71234734,71236660,LOC111109853,GTPase IMAP family member 4-like,XM_022446104.1
NC_035787.1,chr8,exon,71256481,71256559,LOC111109737,GTPase IMAP family member 4-like,XM_022445960.1
NC_035787.1,chr8,exon,71252606,71253919,LOC111109737,GTPase IMAP family member 4-like,XM_022445960.1
NC_035787.1,chr8,exon,71312909,71312915,LOC111108121,GTPase IMAP family member 7-like,XM_022443707.1
NC_035787.1,chr8,exon,71327261,71327331,LOC111108121,GTPase IMAP family member 7-like,XM_022443707.1
NC_035787.1,chr8,exon,71370522,71370728,LOC111108121,GTPase IMAP family member 7-like,XM_022443707.1
NC_035787.1,chr8,exon,71372750,71372785,LOC111108121,GTPase IMAP family member 7-like,XM_022443707.1
NC_035787.1,chr8,exon,71374611,71374646,LOC111108121,GTPase IMAP family member 7-like,XM_022443707.1
NC_035787.1,chr8,exon,71382829,71382924,LOC111108121,GTPase IMAP family member 7-like,XM_022443707.1
NC_035787.1,chr8,exon,71389757,71391216,LOC111108121,GTPase IMAP family member 7-like,XM_022443707.1
NC_035787.1,chr8,exon,71327094,71327125,LOC111108121,GTPase IMAP family member 7-like,XM_022443704.1
NC_035787.1,chr8,exon,71327261,71327331,LOC111108121,GTPase IMAP family member 7-like,XM_022443704.1
NC_035787.1,chr8,exon,71370522,71370728,LOC111108121,GTPase IMAP family member 7-like,XM_022443704.1
NC_035787.1,chr8,exon,71372750,71372785,LOC111108121,GTPase IMAP family member 7-like,XM_022443704.1
NC_035787.1,chr8,exon,71374611,71374646,LOC111108121,GTPase IMAP family member 7-like,XM_022443704.1
NC_035787.1,chr8,exon,71374862,71374864,LOC111108121,GTPase IMAP family member 7-like,XM_022443704.1
NC_035787.1,chr8,exon,71382829,71382924,LOC111108121,GTPase IMAP family member 7-like,XM_022443704.1
NC_035787.1,chr8,exon,71389757,71391216,LOC111108121,GTPase IMAP family member 7-like,XM_022443704.1
NC_035787.1,chr8,exon,71340222,71340253,LOC111108121,GTPase IMAP family member 7-like,XM_022443703.1
NC_035787.1,chr8,exon,71340389,71340459,LOC111108121,GTPase IMAP family member 7-like,XM_022443703.1
NC_035787.1,chr8,exon,71370522,71370728,LOC111108121,GTPase IMAP family member 7-like,XM_022443703.1
NC_035787.1,chr8,exon,71372750,71372785,LOC111108121,GTPase IMAP family member 7-like,XM_022443703.1
NC_035787.1,chr8,exon,71374611,71374646,LOC111108121,GTPase IMAP family member 7-like,XM_022443703.1
NC_035787.1,chr8,exon,71374862,71374864,LOC111108121,GTPase IMAP family member 7-like,XM_022443703.1
NC_035787.1,chr8,exon,71382829,71382924,LOC111108121,GTPase IMAP family member 7-like,XM_022443703.1
NC_035787.1,chr8,exon,71389757,71391216,LOC111108121,GTPase IMAP family member 7-like,XM_022443703.1
NC_035787.1,chr8,exon,71340232,71340253,LOC111108121,GTPase IMAP family member 7-like,XM_022443706.1
NC_035787.1,chr8,exon,71370522,71370728,LOC111108121,GTPase IMAP family member 7-like,XM_022443706.1
NC_035787.1,chr8,exon,71372750,71372785,LOC111108121,GTPase IMAP family member 7-like,XM_022443706.1
NC_035787.1,chr8,exon,71374611,71374646,LOC111108121,GTPase IMAP family member 7-like,XM_022443706.1
NC_035787.1,chr8,exon,71374862,71374864,LOC111108121,GTPase IMAP family member 7-like,XM_022443706.1
NC_035787.1,chr8,exon,71382829,71382924,LOC111108121,GTPase IMAP family member 7-like,XM_022443706.1
NC_035787.1,chr8,exon,71389757,71391216,LOC111108121,GTPase IMAP family member 7-like,XM_022443706.1
NC_035787.1,chr8,exon,71356350,71356370,LOC111108121,GTPase IMAP family member 7-like,XM_022443705.1
NC_035787.1,chr8,exon,71357524,71357538,LOC111108121,GTPase IMAP family member 7-like,XM_022443705.1
NC_035787.1,chr8,exon,71370522,71370728,LOC111108121,GTPase IMAP family member 7-like,XM_022443705.1
NC_035787.1,chr8,exon,71372750,71372785,LOC111108121,GTPase IMAP family member 7-like,XM_022443705.1
NC_035787.1,chr8,exon,71374611,71374646,LOC111108121,GTPase IMAP family member 7-like,XM_022443705.1
NC_035787.1,chr8,exon,71374862,71374864,LOC111108121,GTPase IMAP family member 7-like,XM_022443705.1
NC_035787.1,chr8,exon,71382829,71382924,LOC111108121,GTPase IMAP family member 7-like,XM_022443705.1
NC_035787.1,chr8,exon,71389757,71391216,LOC111108121,GTPase IMAP family member 7-like,XM_022443705.1
NC_035787.1,chr8,exon,71364868,71365200,LOC111108121,GTPase IMAP family member 7-like,XM_022443701.1
NC_035787.1,chr8,exon,71370522,71370728,LOC111108121,GTPase IMAP family member 7-like,XM_022443701.1
NC_035787.1,chr8,exon,71372756,71372785,LOC111108121,GTPase IMAP family member 7-like,XM_022443701.1
NC_035787.1,chr8,exon,71374611,71374646,LOC111108121,GTPase IMAP family member 7-like,XM_022443701.1
NC_035787.1,chr8,exon,71374862,71374864,LOC111108121,GTPase IMAP family member 7-like,XM_022443701.1
NC_035787.1,chr8,exon,71382829,71382924,LOC111108121,GTPase IMAP family member 7-like,XM_022443701.1
NC_035787.1,chr8,exon,71389757,71391216,LOC111108121,GTPase IMAP family member 7-like,XM_022443701.1
NC_035787.1,chr8,exon,71364868,71365200,LOC111108121,GTPase IMAP family member 7-like,XM_022443702.1
NC_035787.1,chr8,exon,71370522,71370728,LOC111108121,GTPase IMAP family member 7-like,XM_022443702.1
NC_035787.1,chr8,exon,71372756,71372785,LOC111108121,GTPase IMAP family member 7-like,XM_022443702.1
NC_035787.1,chr8,exon,71374611,71374646,LOC111108121,GTPase IMAP family member 7-like,XM_022443702.1
NC_035787.1,chr8,exon,71382829,71382924,LOC111108121,GTPase IMAP family member 7-like,XM_022443702.1
NC_035787.1,chr8,exon,71389757,71391216,LOC111108121,GTPase IMAP family member 7-like,XM_022443702.1
NC_035787.1,chr8,exon,71364869,71365200,LOC111108121,GTPase IMAP family member 7-like,XM_022443697.1
NC_035787.1,chr8,exon,71370522,71370728,LOC111108121,GTPase IMAP family member 7-like,XM_022443697.1
NC_035787.1,chr8,exon,71372750,71372785,LOC111108121,GTPase IMAP family member 7-like,XM_022443697.1
NC_035787.1,chr8,exon,71374611,71374646,LOC111108121,GTPase IMAP family member 7-like,XM_022443697.1
NC_035787.1,chr8,exon,71374862,71374864,LOC111108121,GTPase IMAP family member 7-like,XM_022443697.1
NC_035787.1,chr8,exon,71382829,71382924,LOC111108121,GTPase IMAP family member 7-like,XM_022443697.1
NC_035787.1,chr8,exon,71389757,71391216,LOC111108121,GTPase IMAP family member 7-like,XM_022443697.1
NC_035787.1,chr8,exon,71364869,71365200,LOC111108121,GTPase IMAP family member 7-like,XM_022443700.1
NC_035787.1,chr8,exon,71370522,71370728,LOC111108121,GTPase IMAP family member 7-like,XM_022443700.1
NC_035787.1,chr8,exon,71372750,71372785,LOC111108121,GTPase IMAP family member 7-like,XM_022443700.1
NC_035787.1,chr8,exon,71374611,71374646,LOC111108121,GTPase IMAP family member 7-like,XM_022443700.1
NC_035787.1,chr8,exon,71382832,71382924,LOC111108121,GTPase IMAP family member 7-like,XM_022443700.1
NC_035787.1,chr8,exon,71389757,71391216,LOC111108121,GTPase IMAP family member 7-like,XM_022443700.1
NC_035787.1,chr8,exon,71364869,71365200,LOC111108121,GTPase IMAP family member 7-like,XM_022443708.1
NC_035787.1,chr8,exon,71370522,71370728,LOC111108121,GTPase IMAP family member 7-like,XM_022443708.1
NC_035787.1,chr8,exon,71372750,71372785,LOC111108121,GTPase IMAP family member 7-like,XM_022443708.1
NC_035787.1,chr8,exon,71382829,71382924,LOC111108121,GTPase IMAP family member 7-like,XM_022443708.1
NC_035787.1,chr8,exon,71389757,71391216,LOC111108121,GTPase IMAP family member 7-like,XM_022443708.1
NC_035787.1,chr8,exon,71364869,71365200,LOC111108121,GTPase IMAP family member 7-like,XM_022443710.1
NC_035787.1,chr8,exon,71370522,71370728,LOC111108121,GTPase IMAP family member 7-like,XM_022443710.1
NC_035787.1,chr8,exon,71372750,71372785,LOC111108121,GTPase IMAP family member 7-like,XM_022443710.1
NC_035787.1,chr8,exon,71382832,71382924,LOC111108121,GTPase IMAP family member 7-like,XM_022443710.1
NC_035787.1,chr8,exon,71389757,71391216,LOC111108121,GTPase IMAP family member 7-like,XM_022443710.1
NC_035787.1,chr8,exon,71364870,71365200,LOC111108121,GTPase IMAP family member 7-like,XM_022443699.1
NC_035787.1,chr8,exon,71370522,71370728,LOC111108121,GTPase IMAP family member 7-like,XM_022443699.1
NC_035787.1,chr8,exon,71372750,71372785,LOC111108121,GTPase IMAP family member 7-like,XM_022443699.1
NC_035787.1,chr8,exon,71374611,71374646,LOC111108121,GTPase IMAP family member 7-like,XM_022443699.1
NC_035787.1,chr8,exon,71382829,71382924,LOC111108121,GTPase IMAP family member 7-like,XM_022443699.1
NC_035787.1,chr8,exon,71389757,71391216,LOC111108121,GTPase IMAP family member 7-like,XM_022443699.1
NC_035787.1,chr8,exon,71412101,71412149,LOC111107002,GTPase IMAP family member 4-like,XM_022441927.1
NC_035787.1,chr8,exon,71406707,71406785,LOC111107002,GTPase IMAP family member 4-like,XM_022441927.1
NC_035787.1,chr8,exon,71404294,71405194,LOC111107002,GTPase IMAP family member 4-like,XM_022441927.1
NC_035787.1,chr8,exon,71400601,71401647,LOC111107002,GTPase IMAP family member 4-like,XM_022441927.1
NC_035787.1,chr8,exon,71430533,71430550,LOC111110115,GTPase IMAP family member 4-like,XM_022446475.1
NC_035787.1,chr8,exon,71426080,71426127,LOC111110115,GTPase IMAP family member 4-like,XM_022446475.1
NC_035787.1,chr8,exon,71422293,71423278,LOC111110115,GTPase IMAP family member 4-like,XM_022446475.1
NC_035788.1,chr9,exon,29468277,29468321,LOC111111775,GTPase IMAP family member 4-like,XM_022448918.1
NC_035788.1,chr9,exon,29466035,29466091,LOC111111775,GTPase IMAP family member 4-like,XM_022448918.1
NC_035788.1,chr9,exon,29463791,29463847,LOC111111775,GTPase IMAP family member 4-like,XM_022448918.1
NC_035788.1,chr9,exon,29451729,29453151,LOC111111775,GTPase IMAP family member 4-like,XM_022448918.1
NC_035788.1,chr9,exon,29445429,29446028,LOC111111775,GTPase IMAP family member 4-like,XM_022448918.1
NC_035788.1,chr9,exon,29468277,29468303,LOC111111775,GTPase IMAP family member 4-like,XM_022448919.1
NC_035788.1,chr9,exon,29463791,29463847,LOC111111775,GTPase IMAP family member 4-like,XM_022448919.1
NC_035788.1,chr9,exon,29451729,29453151,LOC111111775,GTPase IMAP family member 4-like,XM_022448919.1
NC_035788.1,chr9,exon,29445429,29446028,LOC111111775,GTPase IMAP family member 4-like,XM_022448919.1
NC_035788.1,chr9,exon,29454535,29454577,LOC111111775,GTPase IMAP family member 4-like,XM_022448920.1
NC_035788.1,chr9,exon,29451729,29453151,LOC111111775,GTPase IMAP family member 4-like,XM_022448920.1
NC_035788.1,chr9,exon,29445429,29446028,LOC111111775,GTPase IMAP family member 4-like,XM_022448920.1
NC_035788.1,chr9,exon,29845058,29845199,LOC111113702,GTPase IMAP family member 4-like,XM_022451992.1
NC_035788.1,chr9,exon,29843728,29843853,LOC111113702,GTPase IMAP family member 4-like,XM_022451992.1
NC_035788.1,chr9,exon,29840970,29841048,LOC111113702,GTPase IMAP family member 4-like,XM_022451992.1
NC_035788.1,chr9,exon,29838922,29838975,LOC111113702,GTPase IMAP family member 4-like,XM_022451992.1
NC_035788.1,chr9,exon,29838650,29838756,LOC111113702,GTPase IMAP family member 4-like,XM_022451992.1
NC_035788.1,chr9,exon,29837961,29838065,LOC111113702,GTPase IMAP family member 4-like,XM_022451992.1
NC_035788.1,chr9,exon,29837494,29837550,LOC111113702,GTPase IMAP family member 4-like,XM_022451992.1
NC_035788.1,chr9,exon,29826395,29827230,LOC111113702,GTPase IMAP family member 4-like,XM_022451992.1
NC_035788.1,chr9,exon,29826334,29826351,LOC111113702,GTPase IMAP family member 4-like,XM_022451992.1
NC_035788.1,chr9,exon,53909079,53909095,LOC111115664,GTPase IMAP family member 4-like,XM_022454490.1
NC_035788.1,chr9,exon,53904744,53904792,LOC111115664,GTPase IMAP family member 4-like,XM_022454490.1
NC_035788.1,chr9,exon,53904440,53904649,LOC111115664,GTPase IMAP family member 4-like,XM_022454490.1
NC_035788.1,chr9,exon,53867024,53867086,LOC111115664,GTPase IMAP family member 4-like,XM_022454490.1
NC_035788.1,chr9,exon,53864399,53866525,LOC111115664,GTPase IMAP family member 4-like,XM_022454490.1
NC_035788.1,chr9,exon,72700337,72700430,LOC111112005,GTPase IMAP family member 7-like,XM_022449242.1
NC_035788.1,chr9,exon,72708340,72708546,LOC111112005,GTPase IMAP family member 7-like,XM_022449242.1
NC_035788.1,chr9,exon,72709855,72710766,LOC111112005,GTPase IMAP family member 7-like,XM_022449242.1
NC_035788.1,chr9,exon,72766312,72766494,LOC111111454,GTPase IMAP family member 7-like,XM_022448450.1
NC_035788.1,chr9,exon,72802788,72802997,LOC111111454,GTPase IMAP family member 7-like,XM_022448450.1
NC_035788.1,chr9,exon,72808648,72810804,LOC111111454,GTPase IMAP family member 7-like,XM_022448450.1
NC_035788.1,chr9,exon,86867995,86868128,LOC111115902,GTPase IMAP family member 4-like,XM_022454815.1
NC_035788.1,chr9,exon,86871606,86872528,LOC111115902,GTPase IMAP family member 4-like,XM_022454815.1
NC_035788.1,chr9,exon,87479941,87480012,LOC111110875,GTPase IMAP family member 4-like,XM_022447526.1
NC_035788.1,chr9,exon,87480590,87480675,LOC111110875,GTPase IMAP family member 4-like,XM_022447526.1
NC_035788.1,chr9,exon,87520174,87521184,LOC111110875,GTPase IMAP family member 4-like,XM_022447526.1
NC_035788.1,chr9,exon,87514005,87514077,LOC111110875,GTPase IMAP family member 4-like,XM_022447525.1
NC_035788.1,chr9,exon,87520174,87521184,LOC111110875,GTPase IMAP family member 4-like,XM_022447525.1
NC_035788.1,chr9,exon,103317590,103317686,LOC111111241,GTPase IMAP family member 4-like,XM_022448094.1
NC_035788.1,chr9,exon,103315081,103315148,LOC111111241,GTPase IMAP family member 4-like,XM_022448094.1
NC_035788.1,chr9,exon,103314492,103314565,LOC111111241,GTPase IMAP family member 4-like,XM_022448094.1
NC_035788.1,chr9,exon,103307337,103307441,LOC111111241,GTPase IMAP family member 4-like,XM_022448094.1
NC_035788.1,chr9,exon,103300269,103300325,LOC111111241,GTPase IMAP family member 4-like,XM_022448094.1
NC_035788.1,chr9,exon,103299599,103299655,LOC111111241,GTPase IMAP family member 4-like,XM_022448094.1
NC_035788.1,chr9,exon,103295369,103295425,LOC111111241,GTPase IMAP family member 4-like,XM_022448094.1
NC_035788.1,chr9,exon,103285259,103286681,LOC111111241,GTPase IMAP family member 4-like,XM_022448094.1
NC_035788.1,chr9,exon,103278864,103279698,LOC111111241,GTPase IMAP family member 4-like,XM_022448094.1
NC_035788.1,chr9,exon,103317590,103317686,LOC111111241,GTPase IMAP family member 4-like,XM_022448098.1
NC_035788.1,chr9,exon,103315081,103315148,LOC111111241,GTPase IMAP family member 4-like,XM_022448098.1
NC_035788.1,chr9,exon,103314492,103314577,LOC111111241,GTPase IMAP family member 4-like,XM_022448098.1
NC_035788.1,chr9,exon,103299599,103299655,LOC111111241,GTPase IMAP family member 4-like,XM_022448098.1
NC_035788.1,chr9,exon,103295369,103295425,LOC111111241,GTPase IMAP family member 4-like,XM_022448098.1
NC_035788.1,chr9,exon,103285259,103286681,LOC111111241,GTPase IMAP family member 4-like,XM_022448098.1
NC_035788.1,chr9,exon,103278864,103279698,LOC111111241,GTPase IMAP family member 4-like,XM_022448098.1
NC_035788.1,chr9,exon,103317590,103317686,LOC111111241,GTPase IMAP family member 4-like,XM_022448092.1
NC_035788.1,chr9,exon,103315081,103315148,LOC111111241,GTPase IMAP family member 4-like,XM_022448092.1
NC_035788.1,chr9,exon,103314492,103314577,LOC111111241,GTPase IMAP family member 4-like,XM_022448092.1
NC_035788.1,chr9,exon,103307337,103307441,LOC111111241,GTPase IMAP family member 4-like,XM_022448092.1
NC_035788.1,chr9,exon,103300269,103300325,LOC111111241,GTPase IMAP family member 4-like,XM_022448092.1
NC_035788.1,chr9,exon,103299599,103299655,LOC111111241,GTPase IMAP family member 4-like,XM_022448092.1
NC_035788.1,chr9,exon,103295369,103295425,LOC111111241,GTPase IMAP family member 4-like,XM_022448092.1
NC_035788.1,chr9,exon,103285259,103286681,LOC111111241,GTPase IMAP family member 4-like,XM_022448092.1
NC_035788.1,chr9,exon,103278864,103279698,LOC111111241,GTPase IMAP family member 4-like,XM_022448092.1
NC_035788.1,chr9,exon,103315041,103315094,LOC111111241,GTPase IMAP family member 4-like,XM_022448091.1
NC_035788.1,chr9,exon,103314492,103314577,LOC111111241,GTPase IMAP family member 4-like,XM_022448091.1
NC_035788.1,chr9,exon,103307337,103307441,LOC111111241,GTPase IMAP family member 4-like,XM_022448091.1
NC_035788.1,chr9,exon,103300269,103300325,LOC111111241,GTPase IMAP family member 4-like,XM_022448091.1
NC_035788.1,chr9,exon,103299599,103299655,LOC111111241,GTPase IMAP family member 4-like,XM_022448091.1
NC_035788.1,chr9,exon,103295369,103295425,LOC111111241,GTPase IMAP family member 4-like,XM_022448091.1
NC_035788.1,chr9,exon,103285259,103286681,LOC111111241,GTPase IMAP family member 4-like,XM_022448091.1
NC_035788.1,chr9,exon,103278864,103279698,LOC111111241,GTPase IMAP family member 4-like,XM_022448091.1
NC_035788.1,chr9,exon,103315041,103315092,LOC111111241,GTPase IMAP family member 4-like,XM_022448097.1
NC_035788.1,chr9,exon,103314492,103314636,LOC111111241,GTPase IMAP family member 4-like,XM_022448097.1
NC_035788.1,chr9,exon,103299599,103299655,LOC111111241,GTPase IMAP family member 4-like,XM_022448097.1
NC_035788.1,chr9,exon,103295369,103295425,LOC111111241,GTPase IMAP family member 4-like,XM_022448097.1
NC_035788.1,chr9,exon,103285259,103286681,LOC111111241,GTPase IMAP family member 4-like,XM_022448097.1
NC_035788.1,chr9,exon,103278864,103279698,LOC111111241,GTPase IMAP family member 4-like,XM_022448097.1
NC_035788.1,chr9,exon,103315041,103315092,LOC111111241,GTPase IMAP family member 4-like,XM_022448096.1
NC_035788.1,chr9,exon,103314492,103314636,LOC111111241,GTPase IMAP family member 4-like,XM_022448096.1
NC_035788.1,chr9,exon,103307337,103307441,LOC111111241,GTPase IMAP family member 4-like,XM_022448096.1
NC_035788.1,chr9,exon,103299599,103299655,LOC111111241,GTPase IMAP family member 4-like,XM_022448096.1
NC_035788.1,chr9,exon,103295369,103295425,LOC111111241,GTPase IMAP family member 4-like,XM_022448096.1
NC_035788.1,chr9,exon,103285259,103286681,LOC111111241,GTPase IMAP family member 4-like,XM_022448096.1
NC_035788.1,chr9,exon,103278864,103279698,LOC111111241,GTPase IMAP family member 4-like,XM_022448096.1
NC_035788.1,chr9,exon,103315041,103315092,LOC111111241,GTPase IMAP family member 4-like,XM_022448090.1
NC_035788.1,chr9,exon,103314492,103314636,LOC111111241,GTPase IMAP family member 4-like,XM_022448090.1
NC_035788.1,chr9,exon,103307337,103307441,LOC111111241,GTPase IMAP family member 4-like,XM_022448090.1
NC_035788.1,chr9,exon,103300269,103300325,LOC111111241,GTPase IMAP family member 4-like,XM_022448090.1
NC_035788.1,chr9,exon,103299599,103299655,LOC111111241,GTPase IMAP family member 4-like,XM_022448090.1
NC_035788.1,chr9,exon,103295369,103295425,LOC111111241,GTPase IMAP family member 4-like,XM_022448090.1
NC_035788.1,chr9,exon,103285259,103286681,LOC111111241,GTPase IMAP family member 4-like,XM_022448090.1
NC_035788.1,chr9,exon,103278864,103279698,LOC111111241,GTPase IMAP family member 4-like,XM_022448090.1
NC_035788.1,chr9,exon,103315041,103315070,LOC111111241,GTPase IMAP family member 4-like,XM_022448095.1
NC_035788.1,chr9,exon,103314492,103314565,LOC111111241,GTPase IMAP family member 4-like,XM_022448095.1
NC_035788.1,chr9,exon,103307337,103307441,LOC111111241,GTPase IMAP family member 4-like,XM_022448095.1
NC_035788.1,chr9,exon,103300269,103300325,LOC111111241,GTPase IMAP family member 4-like,XM_022448095.1
NC_035788.1,chr9,exon,103299599,103299655,LOC111111241,GTPase IMAP family member 4-like,XM_022448095.1
NC_035788.1,chr9,exon,103295369,103295425,LOC111111241,GTPase IMAP family member 4-like,XM_022448095.1
NC_035788.1,chr9,exon,103285259,103286681,LOC111111241,GTPase IMAP family member 4-like,XM_022448095.1
NC_035788.1,chr9,exon,103278864,103279698,LOC111111241,GTPase IMAP family member 4-like,XM_022448095.1
